	AT_vs_LM98	AT_vs_LUv2	LM98_vs_AT	LM98_vs_LUv2	LUv2_vs_AT	LUv2_vs_LM98
Lus10007934	1	0	1	1	1	1
Lus10022448	1	1	1	1	1	1
Lus10007602	1	1	1	1	1	1
Lus10007096	1	0	1	1	1	1
Lus10016000	1	1	0	0	1	1
Lus10027272	1	0	0	0	1	1
Lus10021481	1	1	1	1	1	1
Lus10005020	1	1	1	1	1	1
Lus10041595	0	0	1	1	1	1
Lus10016490	1	1	1	1	1	1
Lus10006822	1	1	0	1	1	1
Lus10042516	1	0	0	1	1	1
Lus10037752	1	1	1	1	1	1
Lus10034599	1	0	0	0	1	1
Lus10025353	1	1	0	0	1	1
Lus10041174	0	0	0	0	1	1
Lus10016172	1	1	0	0	1	1
Lus10034355	1	1	1	1	1	1
Lus10011557	0	0	0	0	1	1
Lus10022584	1	1	1	1	1	1
Lus10039880	1	1	1	1	1	1
Lus10031006	1	1	1	1	1	1
Lus10014919	1	1	1	0	1	0
Lus10031950	1	1	1	0	1	0
Lus10003290	1	1	1	1	1	1
Lus10038133	0	1	0	0	1	1
Lus10038301	1	1	0	0	1	0
Lus10034418	1	0	1	1	1	0
Lus10034243	1	1	0	0	1	0
Lus10009209	0	1	1	1	1	1
Lus10006647	1	1	1	1	1	1
Lus10010262	1	1	1	1	1	1
Lus10036427	0	1	1	1	1	0
Lus10023873	1	0	0	0	1	1
Lus10028796	1	1	1	1	1	1
Lus10040970	1	1	1	1	1	1
Lus10017407	1	1	1	1	1	1
Lus10026745	1	0	1	1	1	1
Lus10014668	0	0	1	0	1	0
Lus10023320	1	0	1	0	1	1
Lus10025157	1	1	1	1	1	0
Lus10023266	1	0	1	1	1	1
Lus10034154	1	1	1	1	1	1
Lus10014301	1	1	1	1	1	1
Lus10038754	1	1	1	1	1	0
Lus10017380	0	0	0	0	1	1
Lus10042919	0	0	1	1	1	1
Lus10027184	0	0	1	1	1	1
Lus10005274	0	1	1	0	1	1
Lus10015149	1	1	1	1	1	1
Lus10038731	1	1	1	1	1	1
Lus10031465	0	0	1	0	1	1
Lus10029499	1	1	1	1	1	0
Lus10015852	1	1	1	1	1	1
Lus10011952	0	0	0	0	1	1
Lus10019134	1	1	0	1	1	1
Lus10028568	1	1	1	1	1	0
Lus10015749	0	1	1	1	1	1
Lus10006398	1	1	1	1	1	1
Lus10033128	1	1	1	1	1	1
Lus10018626	1	1	1	1	1	1
Lus10033418	0	1	0	1	1	1
Lus10025318	1	1	1	1	1	1
Lus10023992	1	1	0	0	1	1
Lus10017527	1	1	1	0	1	1
Lus10031157	0	1	1	1	1	0
Lus10031813	0	0	0	0	1	1
Lus10014953	0	1	1	1	1	1
Lus10007197	0	0	0	0	1	1
Lus10018453	0	0	1	0	1	0
Lus10013997	1	0	0	0	1	1
Lus10029808	0	1	0	0	1	1
Lus10028189	0	0	0	0	1	0
Lus10021317	0	0	1	1	1	0
Lus10017046	0	0	1	0	1	0
Lus10033539	1	1	0	0	1	0
Lus10029569	1	0	0	0	1	1
Lus10006693	1	0	0	0	1	0
Lus10028190	1	1	1	1	1	1
Lus10004079	1	1	0	0	1	1
Lus10036368	1	1	1	1	1	1
Lus10004688	1	0	1	1	1	1
Lus10021529	0	0	0	0	1	1
Lus10021810	0	0	0	0	1	1
Lus10018756	0	1	1	1	1	1
Lus10036835	0	0	1	1	1	1
Lus10027013	1	1	1	1	1	1
Lus10002685	0	0	1	1	1	1
Lus10016808	1	0	1	1	1	1
Lus10005436	1	1	1	1	1	1
Lus10022128	0	0	1	0	1	0
Lus10012807	1	1	0	0	1	1
Lus10025203	1	1	1	1	1	1
Lus10029576	0	0	1	1	1	1
Lus10026947	1	1	1	1	1	1
Lus10003812	0	0	0	0	1	1
Lus10030082	1	1	1	1	1	1
Lus10004787	1	0	0	0	1	1
Lus10030067	0	0	0	1	1	1
Lus10010595	1	1	1	1	1	1
Lus10011088	1	0	1	1	1	1
Lus10011851	1	0	0	0	1	1
Lus10004920	1	1	1	1	1	1
Lus10033175	1	1	0	0	1	1
Lus10026640	0	0	0	0	1	1
Lus10037208	1	1	1	1	1	1
Lus10014414	1	0	1	1	1	1
Lus10027810	1	1	1	1	1	1
Lus10037937	1	1	1	0	1	1
Lus10017302	1	1	1	1	1	1
Lus10013508	1	1	1	1	1	1
Lus10005161	1	1	1	1	1	0
Lus10029368	1	1	0	0	1	1
Lus10015882	1	1	1	1	1	1
Lus10043210	1	0	0	0	1	0
Lus10020974	1	1	1	1	1	1
Lus10033356	1	1	1	1	1	0
Lus10036174	0	0	0	0	1	1
Lus10010128	1	0	1	1	1	1
Lus10025657	1	1	1	1	1	1
Lus10042138	1	1	1	1	1	1
Lus10026170	0	0	0	0	1	1
Lus10033163	1	0	1	1	1	1
Lus10016866	1	1	1	1	1	1
Lus10010733	1	0	1	1	1	1
Lus10017580	0	1	0	0	1	0
Lus10025197	1	1	1	1	1	1
Lus10040891	1	1	1	1	1	1
Lus10040045	1	1	1	1	1	1
Lus10013399	1	1	0	0	1	1
Lus10010760	1	0	0	1	1	1
Lus10019062	1	1	1	1	1	1
Lus10022133	0	1	1	1	1	1
Lus10038775	1	1	1	1	1	1
Lus10010944	1	0	0	1	1	1
Lus10020397	1	1	1	1	1	1
Lus10035556	1	1	1	1	1	1
Lus10008388	0	0	0	0	1	0
Lus10034773	1	1	0	0	1	1
Lus10014488	1	1	0	0	1	1
Lus10020823	1	1	1	1	1	1
Lus10029505	1	1	1	1	1	1
Lus10032616	1	1	1	1	1	0
Lus10036999	1	0	0	0	1	1
Lus10007400	0	0	1	1	1	1
Lus10023463	1	1	1	1	1	1
Lus10022387	0	1	0	0	1	0
Lus10016367	1	1	0	1	1	1
Lus10039280	0	0	1	1	1	1
Lus10020233	1	1	1	1	1	0
Lus10038815	0	0	1	1	1	0
Lus10014758	1	1	1	1	1	1
Lus10021817	1	1	1	1	1	1
Lus10014365	1	1	1	1	1	1
Lus10035702	1	1	0	0	1	0
Lus10009728	1	0	1	1	1	1
Lus10008730	1	1	0	0	1	1
Lus10006316	0	1	1	0	1	0
Lus10031025	0	0	1	1	1	1
Lus10037984	1	1	1	1	1	0
Lus10007892	1	1	0	0	1	1
Lus10032478	1	1	1	1	1	1
Lus10021558	1	1	1	1	1	1
Lus10030254	0	0	1	1	1	1
Lus10043096	0	0	0	1	1	1
Lus10033690	1	0	0	1	1	1
Lus10013993	1	0	0	1	1	1
Lus10016350	1	1	1	1	1	1
Lus10002504	1	1	1	1	1	1
Lus10002102	0	0	0	0	1	1
Lus10023811	1	1	0	0	1	1
Lus10014957	0	1	0	1	1	0
Lus10006243	1	1	1	1	1	0
Lus10010687	1	0	1	1	1	1
Lus10004273	1	1	1	1	1	1
Lus10026255	0	0	0	0	1	1
Lus10019950	1	1	0	0	1	0
Lus10018794	1	1	1	1	1	1
Lus10028022	1	1	0	0	1	0
Lus10034619	1	0	1	1	1	1
Lus10033933	1	1	1	1	1	1
Lus10005926	0	0	1	1	1	1
Lus10027052	1	0	1	1	1	0
Lus10039132	1	1	0	0	1	0
Lus10026358	1	1	1	1	1	0
Lus10039427	1	1	0	0	1	1
Lus10043404	1	1	1	0	1	0
Lus10008317	1	0	1	1	1	0
Lus10025363	1	0	0	0	1	1
